Risk ID,Business Service,Risk Statement,Threat Event,Vulnerability,Impact Description,Likelihood (1-5),Impact (1-5),Inherent Risk,Existing Controls,Control Effectiveness (1-5),Residual Risk,Risk Owner,Treatment Option,Target Date,Status,Framework Mapping,Evidence/Notes
R0011,Data Warehouse,"If privilege escalation affects data warehouse, then disruption could impact customers and revenue.",Privilege escalation,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,SIEM detections; Backups tested; PAM enforced,5,12,Product Lead,Mitigate,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0012,ERP,"If privilege escalation affects erp, then disruption could impact customers and revenue.",Privilege escalation,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,Backups tested; WAF and rate limiting; Network segmentation,2,3,SOC Manager,Mitigate,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0013,Network Core,"If data exfiltration affects network core, then disruption could impact customers and revenue.",Data exfiltration,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,Vulnerability management; MFA; PAM enforced,1,20,IT Ops Manager,Accept,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0014,SOC Tooling,"If privilege escalation affects soc tooling, then disruption could impact customers and revenue.",Privilege escalation,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,Vulnerability management; PAM enforced; Change control,2,15,Security Architect,Accept,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0015,Network Core,"If configuration drift affects network core, then disruption could impact customers and revenue.",Configuration drift,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,SIEM detections; Change control; WAF and rate limiting,3,2,IT Ops Manager,Avoid,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0016,Email,"If privilege escalation affects email, then disruption could impact customers and revenue.",Privilege escalation,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,EDR with containment; MFA; Vulnerability management,2,5,SOC Manager,Accept,2024-12-31,Monitoring,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0017,Email,"If ransomware affects email, then disruption could impact customers and revenue.",Ransomware,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,EDR with containment; Vulnerability management; WAF and rate limiting,1,4,Risk Manager,Accept,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0018,SOC Tooling,"If credential stuffing affects soc tooling, then disruption could impact customers and revenue.",Credential stuffing,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,Vulnerability management; Backups tested; WAF and rate limiting,3,14,IT Ops Manager,Mitigate,2024-12-31,Closed,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0019,SOC Tooling,"If supply chain compromise affects soc tooling, then disruption could impact customers and revenue.",Supply chain compromise,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,Vulnerability management; WAF and rate limiting; MFA,5,2,SOC Manager,Accept,2024-12-31,Open,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0020,Data Warehouse,"If supply chain compromise affects data warehouse, then disruption could impact customers and revenue.",Supply chain compromise,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,Backups tested; EDR with containment; Change control,3,8,Product Lead,Transfer,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0021,ERP,"If data exfiltration affects erp, then disruption could impact customers and revenue.",Data exfiltration,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,Network segmentation; Backups tested; WAF and rate limiting,5,21,Security Architect,Mitigate,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0022,Email,"If credential stuffing affects email, then disruption could impact customers and revenue.",Credential stuffing,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,Vulnerability management; SIEM detections; EDR with containment,1,20,Compliance Manager,Avoid,2024-12-31,In Progress,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0023,Email,"If supply chain compromise affects email, then disruption could impact customers and revenue.",Supply chain compromise,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,PAM enforced; Vulnerability management; WAF and rate limiting,1,12,Compliance Manager,Transfer,2024-12-31,Monitoring,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0024,Network Core,"If data exfiltration affects network core, then disruption could impact customers and revenue.",Data exfiltration,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,MFA; Vulnerability management; SIEM detections,2,5,Security Architect,Avoid,2024-12-31,Open,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0025,MES,"If ddos affects mes, then disruption could impact customers and revenue.",DDoS,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,Network segmentation; WAF and rate limiting; PAM enforced,4,9,Product Lead,Transfer,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0026,ERP,"If ransomware affects erp, then disruption could impact customers and revenue.",Ransomware,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,SIEM detections; Vulnerability management; WAF and rate limiting,1,12,Product Lead,Accept,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0027,ERP,"If supply chain compromise affects erp, then disruption could impact customers and revenue.",Supply chain compromise,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,MFA; Vulnerability management; SIEM detections,2,5,Security Architect,Mitigate,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0028,ERP,"If credential stuffing affects erp, then disruption could impact customers and revenue.",Credential stuffing,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,WAF and rate limiting; SIEM detections; PAM enforced,2,19,IT Ops Manager,Transfer,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0029,Email,"If supply chain compromise affects email, then disruption could impact customers and revenue.",Supply chain compromise,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,PAM enforced; Backups tested; Network segmentation,5,6,Product Lead,Avoid,2024-12-31,Closed,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0030,Email,"If ddos affects email, then disruption could impact customers and revenue.",DDoS,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,PAM enforced; Vulnerability management; MFA,3,6,Product Lead,Avoid,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0031,Network Core,"If configuration drift affects network core, then disruption could impact customers and revenue.",Configuration drift,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,Vulnerability management; PAM enforced; MFA,3,6,IT Ops Manager,Avoid,2024-12-31,Monitoring,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0032,ERP,"If configuration drift affects erp, then disruption could impact customers and revenue.",Configuration drift,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,Backups tested; SIEM detections; PAM enforced,5,11,Security Architect,Avoid,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0033,Identity Platform,"If insider misuse affects identity platform, then disruption could impact customers and revenue.",Insider misuse,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,Change control; Vulnerability management; EDR with containment,3,6,Product Lead,Transfer,2024-12-31,Open,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0034,ERP,"If data exfiltration affects erp, then disruption could impact customers and revenue.",Data exfiltration,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,PAM enforced; Network segmentation; EDR with containment,1,8,Compliance Manager,Mitigate,2024-12-31,In Progress,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0035,ERP,"If supply chain compromise affects erp, then disruption could impact customers and revenue.",Supply chain compromise,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,SIEM detections; Backups tested; EDR with containment,2,19,Risk Manager,Avoid,2024-12-31,Accepted,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0036,Identity Platform,"If data exfiltration affects identity platform, then disruption could impact customers and revenue.",Data exfiltration,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,SIEM detections; Vulnerability management; Backups tested,1,10,Compliance Manager,Mitigate,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0037,Customer Portal,"If credential stuffing affects customer portal, then disruption could impact customers and revenue.",Credential stuffing,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,EDR with containment; Network segmentation; SIEM detections,3,13,Security Architect,Mitigate,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0038,Network Core,"If credential stuffing affects network core, then disruption could impact customers and revenue.",Credential stuffing,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,Change control; MFA; WAF and rate limiting,5,2,Product Lead,Avoid,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0039,Data Warehouse,"If privilege escalation affects data warehouse, then disruption could impact customers and revenue.",Privilege escalation,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,Vulnerability management; EDR with containment; Backups tested,2,14,Security Architect,Avoid,2024-12-31,In Progress,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0040,Identity Platform,"If ransomware affects identity platform, then disruption could impact customers and revenue.",Ransomware,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,MFA; WAF and rate limiting; Change control,2,3,SOC Manager,Avoid,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0041,ERP,"If data exfiltration affects erp, then disruption could impact customers and revenue.",Data exfiltration,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,Backups tested; WAF and rate limiting; MFA,5,4,Product Lead,Accept,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0042,Data Warehouse,"If ransomware affects data warehouse, then disruption could impact customers and revenue.",Ransomware,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,PAM enforced; MFA; EDR with containment,4,9,CISO,Transfer,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0043,Email,"If phishing affects email, then disruption could impact customers and revenue.",Phishing,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,PAM enforced; WAF and rate limiting; MFA,2,9,Risk Manager,Transfer,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0044,MES,"If credential stuffing affects mes, then disruption could impact customers and revenue.",Credential stuffing,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,Backups tested; Vulnerability management; MFA,3,6,Security Architect,Mitigate,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0045,MES,"If ransomware affects mes, then disruption could impact customers and revenue.",Ransomware,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,Backups tested; WAF and rate limiting; PAM enforced,5,11,Compliance Manager,Mitigate,2024-12-31,In Progress,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0046,MES,"If insider misuse affects mes, then disruption could impact customers and revenue.",Insider misuse,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,EDR with containment; PAM enforced; Vulnerability management,3,8,Compliance Manager,Avoid,2024-12-31,Open,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0047,Email,"If privilege escalation affects email, then disruption could impact customers and revenue.",Privilege escalation,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,EDR with containment; Backups tested; PAM enforced,1,12,Product Lead,Avoid,2024-12-31,Closed,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0048,MES,"If data exfiltration affects mes, then disruption could impact customers and revenue.",Data exfiltration,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,SIEM detections; PAM enforced; Vulnerability management,3,23,IT Ops Manager,Mitigate,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0049,Network Core,"If phishing affects network core, then disruption could impact customers and revenue.",Phishing,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,WAF and rate limiting; SIEM detections; Change control,5,8,IT Ops Manager,Accept,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0050,SOC Tooling,"If ransomware affects soc tooling, then disruption could impact customers and revenue.",Ransomware,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,Network segmentation; Backups tested; Vulnerability management,1,15,SOC Manager,Mitigate,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0051,Customer Portal,"If ddos affects customer portal, then disruption could impact customers and revenue.",DDoS,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,PAM enforced; Change control; MFA,4,12,Security Architect,Avoid,2024-12-31,Open,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0052,Network Core,"If data exfiltration affects network core, then disruption could impact customers and revenue.",Data exfiltration,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,MFA; Change control; SIEM detections,1,10,Product Lead,Accept,2024-12-31,Monitoring,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0053,SOC Tooling,"If data exfiltration affects soc tooling, then disruption could impact customers and revenue.",Data exfiltration,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,Change control; SIEM detections; MFA,5,16,Compliance Manager,Mitigate,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0054,MES,"If privilege escalation affects mes, then disruption could impact customers and revenue.",Privilege escalation,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,Change control; EDR with containment; PAM enforced,5,11,Compliance Manager,Accept,2024-12-31,Monitoring,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0055,Email,"If ransomware affects email, then disruption could impact customers and revenue.",Ransomware,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,PAM enforced; Vulnerability management; Backups tested,5,21,SOC Manager,Transfer,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0056,ERP,"If data exfiltration affects erp, then disruption could impact customers and revenue.",Data exfiltration,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,MFA; EDR with containment; SIEM detections,1,15,CISO,Mitigate,2024-12-31,Open,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0057,Email,"If insider misuse affects email, then disruption could impact customers and revenue.",Insider misuse,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,MFA; Backups tested; Vulnerability management,5,6,Product Lead,Accept,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0058,ERP,"If ddos affects erp, then disruption could impact customers and revenue.",DDoS,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,MFA; Vulnerability management; Change control,3,8,Product Lead,Avoid,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0059,Data Warehouse,"If ddos affects data warehouse, then disruption could impact customers and revenue.",DDoS,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,Backups tested; Vulnerability management; MFA,2,24,Risk Manager,Transfer,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0060,Data Warehouse,"If insider misuse affects data warehouse, then disruption could impact customers and revenue.",Insider misuse,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,PAM enforced; Change control; Backups tested,5,11,Security Architect,Avoid,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0061,Data Warehouse,"If insider misuse affects data warehouse, then disruption could impact customers and revenue.",Insider misuse,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,Backups tested; Network segmentation; WAF and rate limiting,3,6,Security Architect,Mitigate,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0062,SOC Tooling,"If ransomware affects soc tooling, then disruption could impact customers and revenue.",Ransomware,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,Backups tested; MFA; WAF and rate limiting,3,7,Security Architect,Mitigate,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0063,MES,"If configuration drift affects mes, then disruption could impact customers and revenue.",Configuration drift,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,Vulnerability management; Change control; Network segmentation,5,11,SOC Manager,Mitigate,2024-12-31,Monitoring,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0064,Endpoint Fleet,"If supply chain compromise affects endpoint fleet, then disruption could impact customers and revenue.",Supply chain compromise,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,Network segmentation; Vulnerability management; Backups tested,3,18,Security Architect,Transfer,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0065,Network Core,"If configuration drift affects network core, then disruption could impact customers and revenue.",Configuration drift,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,Vulnerability management; PAM enforced; EDR with containment,5,4,Compliance Manager,Mitigate,2024-12-31,In Progress,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0066,Email,"If phishing affects email, then disruption could impact customers and revenue.",Phishing,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,EDR with containment; PAM enforced; Change control,4,9,SOC Manager,Mitigate,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0067,Data Warehouse,"If configuration drift affects data warehouse, then disruption could impact customers and revenue.",Configuration drift,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,Network segmentation; MFA; Vulnerability management,2,9,SOC Manager,Mitigate,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0068,Email,"If configuration drift affects email, then disruption could impact customers and revenue.",Configuration drift,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,Network segmentation; Vulnerability management; WAF and rate limiting,5,4,SOC Manager,Accept,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0069,Network Core,"If configuration drift affects network core, then disruption could impact customers and revenue.",Configuration drift,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,PAM enforced; Change control; MFA,5,4,Product Lead,Transfer,2024-12-31,Accepted,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0070,Data Warehouse,"If data exfiltration affects data warehouse, then disruption could impact customers and revenue.",Data exfiltration,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,Change control; PAM enforced; MFA,5,8,Risk Manager,Mitigate,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0071,Data Warehouse,"If insider misuse affects data warehouse, then disruption could impact customers and revenue.",Insider misuse,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,Network segmentation; SIEM detections; PAM enforced,4,3,IT Ops Manager,Transfer,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0072,Data Warehouse,"If phishing affects data warehouse, then disruption could impact customers and revenue.",Phishing,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,EDR with containment; Change control; MFA,3,6,Compliance Manager,Avoid,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0073,MES,"If privilege escalation affects mes, then disruption could impact customers and revenue.",Privilege escalation,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,EDR with containment; Change control; Vulnerability management,4,6,CISO,Transfer,2024-12-31,Open,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0074,ERP,"If ddos affects erp, then disruption could impact customers and revenue.",DDoS,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,Backups tested; MFA; Change control,3,6,Risk Manager,Mitigate,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0075,ERP,"If privilege escalation affects erp, then disruption could impact customers and revenue.",Privilege escalation,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,Change control; WAF and rate limiting; Vulnerability management,1,10,Product Lead,Avoid,2024-12-31,In Progress,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0076,ERP,"If configuration drift affects erp, then disruption could impact customers and revenue.",Configuration drift,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,MFA; Network segmentation; Backups tested,4,12,IT Ops Manager,Mitigate,2024-12-31,In Progress,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0077,ERP,"If configuration drift affects erp, then disruption could impact customers and revenue.",Configuration drift,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,SIEM detections; Backups tested; WAF and rate limiting,4,17,Security Architect,Mitigate,2024-12-31,Monitoring,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0078,Email,"If configuration drift affects email, then disruption could impact customers and revenue.",Configuration drift,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,WAF and rate limiting; SIEM detections; Vulnerability management,2,7,Product Lead,Mitigate,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0079,Endpoint Fleet,"If ddos affects endpoint fleet, then disruption could impact customers and revenue.",DDoS,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,PAM enforced; MFA; SIEM detections,5,16,Compliance Manager,Accept,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0080,Endpoint Fleet,"If ddos affects endpoint fleet, then disruption could impact customers and revenue.",DDoS,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,Change control; WAF and rate limiting; Vulnerability management,5,8,Compliance Manager,Transfer,2024-12-31,In Progress,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
