Control ID,Control Description,Risk ID,Business Service,Framework Reference,Control Owner,Implementation Status,Evidence,Notes
C0029,Implement control 29 for Endpoint Fleet addressing NIST CSF DE.CM.,R0029,Endpoint Fleet,NIST CSF DE.CM,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0030,Implement control 30 for Customer Portal addressing NIST CSF RS.MI.,R0030,Customer Portal,NIST CSF RS.MI,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0031,Implement control 31 for Data Warehouse addressing COBIT APO13.,R0031,Data Warehouse,COBIT APO13,Network Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0032,Implement control 32 for Endpoint Fleet addressing COBIT DSS05.,R0032,Endpoint Fleet,COBIT DSS05,Application Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0033,Implement control 33 for Customer Portal addressing COBIT DSS06.,R0033,Customer Portal,COBIT DSS06,Vendor Management,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0034,Implement control 34 for Data Warehouse addressing SOC 2 CC6.,R0034,Data Warehouse,SOC 2 CC6,Privacy,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0035,Implement control 35 for Endpoint Fleet addressing SOC 2 CC7.,R0035,Endpoint Fleet,SOC 2 CC7,Security Engineering,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0036,Implement control 36 for Customer Portal addressing ISO 27001 A.5 Policies.,R0036,Customer Portal,ISO 27001 A.5 Policies,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0037,Implement control 37 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0037,Data Warehouse,ISO 27001 A.9 Access Control,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0038,Implement control 38 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0038,Endpoint Fleet,ISO 27001 A.12 Operations,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0039,Implement control 39 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0039,Customer Portal,ISO 27001 A.17 Business Continuity,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0040,Implement control 40 for Data Warehouse addressing NIST CSF PR.AC.,R0040,Data Warehouse,NIST CSF PR.AC,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0041,Implement control 41 for Endpoint Fleet addressing NIST CSF DE.CM.,R0041,Endpoint Fleet,NIST CSF DE.CM,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0042,Implement control 42 for Customer Portal addressing NIST CSF RS.MI.,R0042,Customer Portal,NIST CSF RS.MI,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0043,Implement control 43 for Data Warehouse addressing COBIT APO13.,R0043,Data Warehouse,COBIT APO13,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0044,Implement control 44 for Endpoint Fleet addressing COBIT DSS05.,R0044,Endpoint Fleet,COBIT DSS05,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0045,Implement control 45 for Customer Portal addressing COBIT DSS06.,R0045,Customer Portal,COBIT DSS06,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0046,Implement control 46 for Data Warehouse addressing SOC 2 CC6.,R0046,Data Warehouse,SOC 2 CC6,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0047,Implement control 47 for Endpoint Fleet addressing SOC 2 CC7.,R0047,Endpoint Fleet,SOC 2 CC7,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0048,Implement control 48 for Customer Portal addressing ISO 27001 A.5 Policies.,R0048,Customer Portal,ISO 27001 A.5 Policies,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0049,Implement control 49 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0049,Data Warehouse,ISO 27001 A.9 Access Control,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0050,Implement control 50 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0050,Endpoint Fleet,ISO 27001 A.12 Operations,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0051,Implement control 51 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0051,Customer Portal,ISO 27001 A.17 Business Continuity,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0052,Implement control 52 for Data Warehouse addressing NIST CSF PR.AC.,R0052,Data Warehouse,NIST CSF PR.AC,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0053,Implement control 53 for Endpoint Fleet addressing NIST CSF DE.CM.,R0053,Endpoint Fleet,NIST CSF DE.CM,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0054,Implement control 54 for Customer Portal addressing NIST CSF RS.MI.,R0054,Customer Portal,NIST CSF RS.MI,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0055,Implement control 55 for Data Warehouse addressing COBIT APO13.,R0055,Data Warehouse,COBIT APO13,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0056,Implement control 56 for Endpoint Fleet addressing COBIT DSS05.,R0056,Endpoint Fleet,COBIT DSS05,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0057,Implement control 57 for Customer Portal addressing COBIT DSS06.,R0057,Customer Portal,COBIT DSS06,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0058,Implement control 58 for Data Warehouse addressing SOC 2 CC6.,R0058,Data Warehouse,SOC 2 CC6,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0059,Implement control 59 for Endpoint Fleet addressing SOC 2 CC7.,R0059,Endpoint Fleet,SOC 2 CC7,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0060,Implement control 60 for Customer Portal addressing ISO 27001 A.5 Policies.,R0060,Customer Portal,ISO 27001 A.5 Policies,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0061,Implement control 61 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0061,Data Warehouse,ISO 27001 A.9 Access Control,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0062,Implement control 62 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0062,Endpoint Fleet,ISO 27001 A.12 Operations,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0063,Implement control 63 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0063,Customer Portal,ISO 27001 A.17 Business Continuity,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0064,Implement control 64 for Data Warehouse addressing NIST CSF PR.AC.,R0064,Data Warehouse,NIST CSF PR.AC,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0065,Implement control 65 for Endpoint Fleet addressing NIST CSF DE.CM.,R0065,Endpoint Fleet,NIST CSF DE.CM,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0066,Implement control 66 for Customer Portal addressing NIST CSF RS.MI.,R0066,Customer Portal,NIST CSF RS.MI,Network Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0067,Implement control 67 for Data Warehouse addressing COBIT APO13.,R0067,Data Warehouse,COBIT APO13,Application Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0068,Implement control 68 for Endpoint Fleet addressing COBIT DSS05.,R0068,Endpoint Fleet,COBIT DSS05,Vendor Management,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0069,Implement control 69 for Customer Portal addressing COBIT DSS06.,R0069,Customer Portal,COBIT DSS06,Privacy,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0070,Implement control 70 for Data Warehouse addressing SOC 2 CC6.,R0070,Data Warehouse,SOC 2 CC6,Security Engineering,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0071,Implement control 71 for Endpoint Fleet addressing SOC 2 CC7.,R0071,Endpoint Fleet,SOC 2 CC7,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0072,Implement control 72 for Customer Portal addressing ISO 27001 A.5 Policies.,R0072,Customer Portal,ISO 27001 A.5 Policies,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0073,Implement control 73 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0073,Data Warehouse,ISO 27001 A.9 Access Control,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0074,Implement control 74 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0074,Endpoint Fleet,ISO 27001 A.12 Operations,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0075,Implement control 75 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0075,Customer Portal,ISO 27001 A.17 Business Continuity,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0076,Implement control 76 for Data Warehouse addressing NIST CSF PR.AC.,R0076,Data Warehouse,NIST CSF PR.AC,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0077,Implement control 77 for Endpoint Fleet addressing NIST CSF DE.CM.,R0077,Endpoint Fleet,NIST CSF DE.CM,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0078,Implement control 78 for Customer Portal addressing NIST CSF RS.MI.,R0078,Customer Portal,NIST CSF RS.MI,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0079,Implement control 79 for Data Warehouse addressing COBIT APO13.,R0079,Data Warehouse,COBIT APO13,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0080,Implement control 80 for Endpoint Fleet addressing COBIT DSS05.,R0080,Endpoint Fleet,COBIT DSS05,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0081,Implement control 81 for Customer Portal addressing COBIT DSS06.,R0081,Customer Portal,COBIT DSS06,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0082,Implement control 82 for Data Warehouse addressing SOC 2 CC6.,R0082,Data Warehouse,SOC 2 CC6,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0083,Implement control 83 for Endpoint Fleet addressing SOC 2 CC7.,R0083,Endpoint Fleet,SOC 2 CC7,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0084,Implement control 84 for Customer Portal addressing ISO 27001 A.5 Policies.,R0084,Customer Portal,ISO 27001 A.5 Policies,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0085,Implement control 85 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0085,Data Warehouse,ISO 27001 A.9 Access Control,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0086,Implement control 86 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0086,Endpoint Fleet,ISO 27001 A.12 Operations,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0087,Implement control 87 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0087,Customer Portal,ISO 27001 A.17 Business Continuity,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0088,Implement control 88 for Data Warehouse addressing NIST CSF PR.AC.,R0088,Data Warehouse,NIST CSF PR.AC,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0089,Implement control 89 for Endpoint Fleet addressing NIST CSF DE.CM.,R0089,Endpoint Fleet,NIST CSF DE.CM,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0090,Implement control 90 for Customer Portal addressing NIST CSF RS.MI.,R0090,Customer Portal,NIST CSF RS.MI,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0091,Implement control 91 for Data Warehouse addressing COBIT APO13.,R0091,Data Warehouse,COBIT APO13,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0092,Implement control 92 for Endpoint Fleet addressing COBIT DSS05.,R0092,Endpoint Fleet,COBIT DSS05,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0093,Implement control 93 for Customer Portal addressing COBIT DSS06.,R0093,Customer Portal,COBIT DSS06,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0094,Implement control 94 for Data Warehouse addressing SOC 2 CC6.,R0094,Data Warehouse,SOC 2 CC6,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0095,Implement control 95 for Endpoint Fleet addressing SOC 2 CC7.,R0095,Endpoint Fleet,SOC 2 CC7,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0096,Implement control 96 for Customer Portal addressing ISO 27001 A.5 Policies.,R0096,Customer Portal,ISO 27001 A.5 Policies,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0097,Implement control 97 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0097,Data Warehouse,ISO 27001 A.9 Access Control,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0098,Implement control 98 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0098,Endpoint Fleet,ISO 27001 A.12 Operations,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0099,Implement control 99 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0099,Customer Portal,ISO 27001 A.17 Business Continuity,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0100,Implement control 100 for Data Warehouse addressing NIST CSF PR.AC.,R0100,Data Warehouse,NIST CSF PR.AC,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0101,Implement control 101 for Endpoint Fleet addressing NIST CSF DE.CM.,R0101,Endpoint Fleet,NIST CSF DE.CM,Network Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0102,Implement control 102 for Customer Portal addressing NIST CSF RS.MI.,R0102,Customer Portal,NIST CSF RS.MI,Application Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0103,Implement control 103 for Data Warehouse addressing COBIT APO13.,R0103,Data Warehouse,COBIT APO13,Vendor Management,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0104,Implement control 104 for Endpoint Fleet addressing COBIT DSS05.,R0104,Endpoint Fleet,COBIT DSS05,Privacy,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0105,Implement control 105 for Customer Portal addressing COBIT DSS06.,R0105,Customer Portal,COBIT DSS06,Security Engineering,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0106,Implement control 106 for Data Warehouse addressing SOC 2 CC6.,R0106,Data Warehouse,SOC 2 CC6,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0107,Implement control 107 for Endpoint Fleet addressing SOC 2 CC7.,R0107,Endpoint Fleet,SOC 2 CC7,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0108,Implement control 108 for Customer Portal addressing ISO 27001 A.5 Policies.,R0108,Customer Portal,ISO 27001 A.5 Policies,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0109,Implement control 109 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0109,Data Warehouse,ISO 27001 A.9 Access Control,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0110,Implement control 110 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0110,Endpoint Fleet,ISO 27001 A.12 Operations,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0111,Implement control 111 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0111,Customer Portal,ISO 27001 A.17 Business Continuity,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0112,Implement control 112 for Data Warehouse addressing NIST CSF PR.AC.,R0112,Data Warehouse,NIST CSF PR.AC,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0113,Implement control 113 for Endpoint Fleet addressing NIST CSF DE.CM.,R0113,Endpoint Fleet,NIST CSF DE.CM,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0114,Implement control 114 for Customer Portal addressing NIST CSF RS.MI.,R0114,Customer Portal,NIST CSF RS.MI,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0115,Implement control 115 for Data Warehouse addressing COBIT APO13.,R0115,Data Warehouse,COBIT APO13,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0116,Implement control 116 for Endpoint Fleet addressing COBIT DSS05.,R0116,Endpoint Fleet,COBIT DSS05,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0117,Implement control 117 for Customer Portal addressing COBIT DSS06.,R0117,Customer Portal,COBIT DSS06,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0118,Implement control 118 for Data Warehouse addressing SOC 2 CC6.,R0118,Data Warehouse,SOC 2 CC6,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0119,Implement control 119 for Endpoint Fleet addressing SOC 2 CC7.,R0119,Endpoint Fleet,SOC 2 CC7,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0120,Implement control 120 for Customer Portal addressing ISO 27001 A.5 Policies.,R0120,Customer Portal,ISO 27001 A.5 Policies,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0121,Implement control 121 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0121,Data Warehouse,ISO 27001 A.9 Access Control,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0122,Implement control 122 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0122,Endpoint Fleet,ISO 27001 A.12 Operations,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0123,Implement control 123 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0123,Customer Portal,ISO 27001 A.17 Business Continuity,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0124,Implement control 124 for Data Warehouse addressing NIST CSF PR.AC.,R0124,Data Warehouse,NIST CSF PR.AC,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0125,Implement control 125 for Endpoint Fleet addressing NIST CSF DE.CM.,R0125,Endpoint Fleet,NIST CSF DE.CM,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0126,Implement control 126 for Customer Portal addressing NIST CSF RS.MI.,R0126,Customer Portal,NIST CSF RS.MI,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0127,Implement control 127 for Data Warehouse addressing COBIT APO13.,R0127,Data Warehouse,COBIT APO13,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0128,Implement control 128 for Endpoint Fleet addressing COBIT DSS05.,R0128,Endpoint Fleet,COBIT DSS05,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0129,Implement control 129 for Customer Portal addressing COBIT DSS06.,R0129,Customer Portal,COBIT DSS06,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0130,Implement control 130 for Data Warehouse addressing SOC 2 CC6.,R0130,Data Warehouse,SOC 2 CC6,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0131,Implement control 131 for Endpoint Fleet addressing SOC 2 CC7.,R0131,Endpoint Fleet,SOC 2 CC7,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0132,Implement control 132 for Customer Portal addressing ISO 27001 A.5 Policies.,R0132,Customer Portal,ISO 27001 A.5 Policies,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0133,Implement control 133 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0133,Data Warehouse,ISO 27001 A.9 Access Control,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0134,Implement control 134 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0134,Endpoint Fleet,ISO 27001 A.12 Operations,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0135,Implement control 135 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0135,Customer Portal,ISO 27001 A.17 Business Continuity,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0136,Implement control 136 for Data Warehouse addressing NIST CSF PR.AC.,R0136,Data Warehouse,NIST CSF PR.AC,Network Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0137,Implement control 137 for Endpoint Fleet addressing NIST CSF DE.CM.,R0137,Endpoint Fleet,NIST CSF DE.CM,Application Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0138,Implement control 138 for Customer Portal addressing NIST CSF RS.MI.,R0138,Customer Portal,NIST CSF RS.MI,Vendor Management,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
